,Unnamed: 0,gloss,label,video_id,split,frame_start,frame_end,fps
11211,11211,across,11,829,train,454,506,25
11212,11212,across,11,840,train,1,-1,25
11213,11213,across,11,841,train,1,-1,25
11214,11214,across,11,832,val,1,-1,25
11215,11215,across,11,842,train,1,-1,25
11216,11216,across,11,834,val,1,-1,25
11217,11217,across,11,835,train,1,-1,25
11218,11218,across,11,836,train,1,-1,25
11219,11219,across,11,838,test,1,-1,25
11220,11220,across,11,839,train,1,-1,25
11221,11221,actor,16,897,train,611,673,25
11222,11222,actor,16,65017,train,1,-1,25
11223,11223,actor,16,67347,train,1,-1,25
11224,11224,actor,16,898,val,1,-1,25
11225,11225,actor,16,899,train,1,-1,25
11226,11226,actor,16,900,val,1,-1,25
11227,11227,actor,16,901,train,1,-1,25
11228,11228,actor,16,902,train,1,-1,25
11229,11229,actor,16,903,test,1,-1,25
11230,11230,actor,16,904,train,1,-1,25
11231,11231,agree,39,1572,train,1379,1418,25
11232,11232,agree,39,70117,train,3581,3689,25
11233,11233,agree,39,1575,train,1,-1,25
11234,11234,agree,39,1576,val,1,-1,25
11235,11235,agree,39,1577,train,1,-1,25
11236,11236,agree,39,1578,val,1,-1,25
11237,11237,agree,39,1579,train,1,-1,25
11238,11238,agree,39,1580,train,1,-1,25
11239,11239,agree,39,1581,test,1,-1,25
11240,11240,agree,39,1582,train,1,-1,25
11241,11241,alarm,45,1796,train,1529,1575,25
11242,11242,alarm,45,1808,train,1,-1,25
11243,11243,alarm,45,65040,train,1,-1,25
11244,11244,alarm,45,1801,val,1,-1,25
11245,11245,alarm,45,67355,train,1,-1,25
11246,11246,alarm,45,1802,val,1,-1,25
11247,11247,alarm,45,1803,train,1,-1,25
11248,11248,alarm,45,1804,train,1,-1,25
11249,11249,alarm,45,1805,test,1,-1,25
11250,11250,alarm,45,1806,train,1,-1,25
11251,11251,allergy,50,65050,train,1,-1,25
11252,11252,allergy,50,1962,train,1,-1,25
11253,11253,allergy,50,1964,train,1,-1,25
11254,11254,allergy,50,65051,val,1,-1,25
11255,11255,allergy,50,1955,train,1,-1,25
11256,11256,allergy,50,1965,val,1,-1,25
11257,11257,allergy,50,1956,train,1,-1,25
11258,11258,allergy,50,1957,train,1,-1,25
11259,11259,allergy,50,1959,test,1,-1,25
11260,11260,allergy,50,1960,train,1,-1,25
11261,11261,almost,53,2089,train,1802,1838,25
11262,11262,almost,53,65056,train,1,-1,25
11263,11263,almost,53,2091,train,1,-1,25
11264,11264,almost,53,2092,val,1,-1,25
11265,11265,almost,53,2093,train,1,-1,25
11266,11266,almost,53,2094,val,1,-1,25
11267,11267,almost,53,2095,train,1,-1,25
11268,11268,almost,53,2096,train,1,-1,25
11269,11269,almost,53,2097,test,1,-1,25
11270,11270,almost,53,2098,train,1,-1,25
11271,11271,announce,70,2618,train,2727,2779,25
11272,11272,announce,70,65074,train,1,-1,25
11273,11273,announce,70,67365,train,1,-1,25
11274,11274,announce,70,2619,val,1,-1,25
11275,11275,announce,70,2620,train,1,-1,25
11276,11276,announce,70,2621,val,1,-1,25
11277,11277,announce,70,2622,train,1,-1,25
11278,11278,announce,70,2623,train,1,-1,25
11279,11279,announce,70,2624,test,1,-1,25
11280,11280,announce,70,2625,train,1,-1,25
11281,11281,apartment,77,2871,train,3040,3086,25
11282,11282,apartment,77,2872,train,1,-1,25
11283,11283,apartment,77,2873,train,1,-1,25
11284,11284,apartment,77,2874,val,1,-1,25
11285,11285,apartment,77,2875,train,1,-1,25
11286,11286,apartment,77,2876,val,1,-1,25
11287,11287,apartment,77,2877,train,1,-1,25
11288,11288,apartment,77,2878,train,1,-1,25
11289,11289,apartment,77,2879,test,1,-1,25
11290,11290,apartment,77,2880,train,1,-1,25
11291,11291,attention,108,4008,train,4390,4452,25
11292,11292,attention,108,65107,train,1,-1,25
11293,11293,attention,108,4011,train,1,-1,25
11294,11294,attention,108,67375,val,1,-1,25
11295,11295,attention,108,4012,train,1,-1,25
11296,11296,attention,108,4013,val,1,-1,25
11297,11297,attention,108,4014,train,1,-1,25
11298,11298,attention,108,4015,train,1,-1,25
11299,11299,attention,108,4016,test,1,-1,25
11300,11300,attention,108,4017,train,1,-1,25
11301,11301,audience,113,4110,train,4674,4730,25
11302,11302,audience,113,4118,train,1,-1,25
11303,11303,audience,113,4119,train,1,-1,25
11304,11304,audience,113,4120,val,1,-1,25
11305,11305,audience,113,4121,train,1,-1,25
11306,11306,audience,113,4122,val,1,-1,25
11307,11307,audience,113,4123,train,1,-1,25
11308,11308,audience,113,4115,train,1,-1,25
11309,11309,audience,113,4116,test,1,-1,25
11310,11310,audience,113,4117,train,1,-1,25
11311,11311,august,116,4154,train,4898,4954,25
11312,11312,august,116,4163,train,1,-1,25
11313,11313,august,116,4164,train,1,-1,25
11314,11314,august,116,4155,val,1,-1,25
11315,11315,august,116,4156,train,1,-1,25
11316,11316,august,116,4157,val,1,-1,25
11317,11317,august,116,4158,train,1,-1,25
11318,11318,august,116,4159,train,1,-1,25
11319,11319,august,116,4160,test,1,-1,25
11320,11320,august,116,4161,train,1,-1,25
11321,11321,autumn,122,4288,train,5182,5234,25
11322,11322,autumn,122,65113,train,1,-1,25
11323,11323,autumn,122,4289,train,1,-1,25
11324,11324,autumn,122,4290,val,1,-1,25
11325,11325,autumn,122,4291,train,1,-1,25
11326,11326,autumn,122,4292,val,1,-1,25
11327,11327,autumn,122,4293,train,1,-1,25
11328,11328,autumn,122,4294,train,1,-1,25
11329,11329,autumn,122,4295,test,1,-1,25
11330,11330,autumn,122,4296,train,1,-1,25
11331,11331,away,129,4386,train,5583,5622,25
11332,11332,away,129,69216,train,1,-1,25
11333,11333,away,129,4396,train,1,-1,25
11334,11334,away,129,4397,val,1,-1,25
11335,11335,away,129,65117,train,1,-1,25
11336,11336,away,129,4388,val,1,-1,25
